#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A1878C
#Date Time: 2024-04-19 11:21:02.549
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 9.7 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
9.513000000000001e-05,0.4023363775466242,-8.79088189194756
9.576e-05,0.4023363775466242,-8.761445218707262
9.639e-05,0.4023363775466242,-8.846075654273118
9.702e-05,0.4060536848129305,-8.927026505683937
9.765e-05,0.4060536848129305,-9.01533652540483
9.828e-05,0.4060536848129305,-9.085248624350537
9.891e-05,0.4060536848129305,-9.14780155498617
9.954e-05,0.4023363775466242,-9.195636149001654
0.00010017,0.4023363775466242,-9.247150327172175
0.0001008,0.4060536848129305,-9.283946168722547
0.00010143,0.4023363775466242,-9.317062426117882
0.00010206,0.4023363775466242,-9.335460346893068
0.00010269,0.4060536848129305,-9.353858267668254
0.00010332,0.4097709920792368,-9.361217435978329
0.00010395,0.4023363775466242,-9.357537851823292
0.00010458,0.4023363775466242,-9.350178683513217
0.00010521,0.398619070280318,-9.335460346893068
0.00010584,0.398619070280318,-9.317062426117882
0.00010647,0.4023363775466242,-9.291305337032622
0.0001071,0.4097709920792368,-9.250829911327212
0.00010773,0.4097709920792368,-9.206674901466766
0.00010836,0.4023363775466242,-9.155160723296245
0.00010899,0.4023363775466242,-9.118364881745872
0.00010962,0.4023363775466242,-9.070530287730389
0.00011025,0.4060536848129305,-9.01533652540483
0.00011088,0.4060536848129305,-8.960142763079272
0.00011151,0.4097709920792368,-8.915987753218825
0.00011214,0.4097709920792368,-8.871832743358379
0.00011277,0.4060536848129305,-8.831357317652969
