#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18A25
#Date Time: 2024-04-26 11:39:13.836
#Start: 100 Hz
#Stop: 50000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 60.4725 V
#Offset: -0.00262502 V
#Relative: no
#Channel: Channel 2
#Range: 59.9539 V
#Offset: -0.00191686 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1974.720351693797,-9.004799988723152,7.379309600573326,-93.85730224038279
2058.252897417765,-8.639452279074813,6.963411809790524,-94.96112146503805
2145.318949133678,-8.325868888393558,6.655116914528175,-96.14237967914671
2236.067977499791,-7.996906170343877,6.350590323038929,-95.65195226377885
2330.655775925117,-7.691078950205209,6.011086916097932,-95.58590255656452
2429.244728027779,-7.368341526336145,5.714383031911582,-97.25853518139633
2532.004086407124,-7.169399733883125,5.466322192587196,-97.63329888612168
2639.110263208136,-6.761629460401729,5.073585888444963,-98.28823086201761
2750.747132977031,-6.426246310743725,4.749105497748643,-99.47979876629273
2867.106348327898,-6.090190119574786,4.365829609148462,-100.0729646089092
2988.38766896236,-5.794899257764797,4.046555355693072,-100.0535072210452
3114.799304607086,-5.509928122703237,3.793079776680348,-100.8716351001127
3246.558272457852,-5.20428349723037,3.445006029753896,-101.9422885849356
